first_opcode,second_opcode,first_length,second_length,sum,combined,efficiency_PUSH_NULL,_BINARY_OP_ADD_FLOAT,24,397,421,1,0.0023752969121140144
_LOAD_ATTR_MODULE,_SET_IP,323,43,366,343,0.9371584699453552
_MATCH_SEQUENCE,_COMPARE_OP,59,498,557,522,0.9371633752244165
_MATCH_MAPPING,_COMPARE_OP,59,498,557,522,0.9371633752244165
_COMPARE_OP,_MATCH_MAPPING,498,59,557,522,0.9371633752244165
_COMPARE_OP,_MATCH_SEQUENCE,498,59,557,522,0.9371633752244165
_CHECK_EG_MATCH,_LOAD_FROM_DICT_OR_DEREF,629,326,955,895,0.93717277486911
_UNPACK_SEQUENCE_TUPLE,_GET_YIELD_FROM_ITER,338,283,621,582,0.9371980676328503
_CHECK_PEP_523,_MAP_ADD,67,140,207,194,0.9371980676328503
_ITER_NEXT_RANGE,_CHECK_ATTR_MODULE,111,96,207,194,0.9371980676328503
_STORE_DEREF,_CALL_STR_1,175,462,637,597,0.9372056514913658
_STORE_DEREF,_CALL_TUPLE_1,175,462,637,597,0.9372056514913658
_PUSH_FRAME,_CONTAINS_OP,68,362,430,403,0.9372093023255814
_STORE_SLICE,_BINARY_OP_ADD_INT,457,228,685,642,0.9372262773722628
_STORE_SLICE,_BINARY_OP_ADD_UNICODE,457,228,685,642,0.9372262773722628
_STORE_SLICE,_BINARY_OP_MULTIPLY_INT,457,228,685,642,0.9372262773722628
_STORE_SLICE,_BINARY_OP_SUBTRACT_INT,457,228,685,642,0.9372262773722628
_BUILD_STRING,_ITER_NEXT_RANGE,367,111,478,448,0.9372384937238494
_LOAD_SUPER_ATTR_METHOD,_LIST_APPEND,625,140,765,717,0.9372549019607843
_COMPARE_OP_STR,_INIT_CALL_PY_EXACT_ARGS,325,759,1084,1016,0.9372693726937269
_INIT_CALL_BOUND_METHOD_EXACT_ARGS,_TO_BOOL_LIST,302,240,542,508,0.9372693726937269
_BUILD_SLICE,_CALL_BUILTIN_O,492,624,1116,1046,0.9372759856630825
_CALL_ISINSTANCE,_LOAD_ATTR_INSTANCE_VALUE,561,300,861,807,0.9372822299651568
_BEFORE_ASYNC_WITH,_STORE_SUBSCR_DICT,859,289,1148,1076,0.9372822299651568
_BEFORE_WITH,_STORE_SUBSCR_DICT,859,289,1148,1076,0.9372822299651568
_GUARD_NOT_EXHAUSTED_TUPLE,_FORMAT_SIMPLE,76,227,303,284,0.9372937293729373
_GUARD_NOT_EXHAUSTED_LIST,_FORMAT_SIMPLE,76,227,303,284,0.9372937293729373
_STORE_SUBSCR_LIST_INT,_BUILD_SET,414,495,909,852,0.9372937293729373
