_SET_IP,_LOAD_DEREF
_LOAD_DEREF,_CHECK_VALIDITY
_LOAD_ATTR_SLOT_0,_SET_IP
_COPY,_COPY
_SWAP,_SWAP
_LOAD_FAST,_GUARD_BOTH_FLOAT
_GUARD_IS_TRUE_POP,_JUMP_TO_TOP
_COMPARE_OP_INT,_GUARD_IS_FALSE_POP
_LOAD_FAST_1,_LOAD_FAST
_STORE_SUBSCR_LIST_INT,_CHECK_VALIDITY
_SET_IP,_STORE_SUBSCR_LIST_INT
_CHECK_VALIDITY,_STORE_FAST_6
_SET_IP,_BUILD_TUPLE
_CHECK_VALIDITY,_LOAD_FAST_6
_LOAD_FAST_3,_GUARD_TYPE_VERSION
_COMPARE_OP_INT,_GUARD_IS_TRUE_POP
_LOAD_CONST_INLINE,_SET_IP
_LOAD_ATTR_METHOD_NO_DICT,_SET_IP
_ITER_NEXT_LIST,_UNPACK_SEQUENCE_TWO_TUPLE
_STORE_SUBSCR,_CHECK_VALIDITY
_SET_IP,_STORE_SUBSCR
_POP_FRAME,_CHECK_VALIDITY
_CONTAINS_OP_DICT,_CHECK_VALIDITY
_GUARD_BOTH_FLOAT,_BINARY_OP_ADD_FLOAT
_CHECK_VALIDITY,_IS_OP
_STORE_FAST_6,_LOAD_CONST_INLINE_WITH_NULL
_ITER_NEXT_RANGE,_STORE_FAST
_CHECK_VALIDITY,_STORE_FAST
_LOAD_ATTR_METHOD_WITH_VALUES,_LOAD_FAST_1
_BINARY_SUBSCR_STR_INT,_LOAD_FAST_2
_GUARD_IS_TRUE_POP,_LOAD_FAST_0
_GUARD_IS_TRUE_POP,_LOAD_FAST_6
_STORE_FAST_1,_LOAD_FAST_0
_LOAD_FAST_2,_GUARD_BOTH_FLOAT
_LOAD_FAST_4,_LOAD_CONST_INLINE_BORROW
_STORE_FAST_1,_STORE_FAST_2
_UNPACK_SEQUENCE_TWO_TUPLE,_STORE_FAST_1
_CHECK_VALIDITY,_STORE_FAST_3
_BINARY_OP_MULTIPLY_FLOAT,_EXIT_TRACE
_SET_IP,_FOR_ITER_TIER_TWO
_CHECK_VALIDITY,_LOAD_FAST_5
_GUARD_IS_FALSE_POP,_LOAD_FAST_0
_GUARD_BOTH_INT,_BINARY_OP_SUBTRACT_INT
_SET_IP,_CONTAINS_OP_DICT
_CHECK_FUNCTION,_LOAD_CONST_INLINE_BORROW
_CHECK_STACK_SPACE,_INIT_CALL_PY_EXACT_ARGS_0
_INIT_CALL_PY_EXACT_ARGS_0,_SAVE_RETURN_OFFSET
_GUARD_NOT_EXHAUSTED_TUPLE,_ITER_NEXT_TUPLE
_GUARD_IS_FALSE_POP,_LOAD_FAST_3
_IS_OP,_GUARD_IS_TRUE_POP
_LOAD_FAST,_LOAD_FAST_2
_LOAD_FAST_0,_SET_IP
_LOAD_CONST_INLINE_BORROW,_GUARD_BOTH_INT
_GUARD_BOTH_FLOAT,_BINARY_OP_SUBTRACT_FLOAT
_BUILD_TUPLE,_EXIT_TRACE
